Year;Team 1;Score 1;Team 2;Score 2;Round;Date;Penalty Kicks;Penalty Score 1;Penalty Score 2;Player of the Match 1;Player of the Match 2;Total Shots 1;Total Shots 2;Shots on Goal 1;Shots on Goal 2;Shots Blocked 1;Shots Blocked 2;Fouls 1;Fouls 2;Corner Kicks 1;Corner Kicks 2;Possession 1;Possession 2
2019;FRA;4;KOR;0;Group;07.juin;0;;;1;0;21;4;8;1;5;1;11;11;13;1;60;40
2019;GER;1;CHN;0;Group;08.juin;0;;;1;0;18;4;5;1;5;1;7;19;8;3;62;38
2019;ESP;3;RSA;1;Group;08.juin;0;;;1;0;25;4;12;2;8;2;12;13;5;2;72;28
2019;NOR;3;NGA;0;Group;08.juin;0;;;1;0;10;9;4;1;2;2;5;10;5;5;57;43
2019;AUS;1;ITA;2;Group;09.juin;0;;;0;1;17;5;7;3;3;1;20;19;6;3;57;43
2019;BRA;3;JAM;0;Group;09.juin;0;;;1;0;18;13;6;3;4;4;14;9;10;3;57;43
2019;ENG;2;SCO;1;Group;09.juin;0;;;1;0;14;8;6;4;2;2;8;8;9;2;56;44
2019;ARG;0;JPN;0;Group;10.juin;0;;;1;0;5;8;1;3;2;0;6;6;0;5;39;61
2019;CAN;1;CMR;0;Group;10.juin;0;;;1;0;16;5;4;1;6;1;10;12;10;4;65;35
2019;NZL;0;NED;1;Group;11.juin;0;;;0;1;6;17;3;3;1;6;4;8;1;8;31;69
2019;CHI;0;SWE;2;Group;11.juin;0;;;0;1;6;25;1;7;0;7;10;13;0;11;36;64
2019;USA;13;THA;0;Group;11.juin;0;;;1;0;39;2;21;2;9;0;5;5;10;0;75;25
2019;NGA;2;KOR;0;Group;12.juin;0;;;1;0;12;15;2;7;3;5;12;9;3;6;43;57
2019;GER;1;ESP;0;Group;12.juin;0;;;1;0;15;16;8;2;1;8;8;9;2;7;41;59
2019;FRA;2;NOR;1;Group;12.juin;0;;;1;0;16;5;5;1;8;1;7;8;9;5;50;50
2019;AUS;3;BRA;2;Group;13.juin;0;;;1;0;9;12;5;4;1;4;7;7;4;3;51;49
2019;RSA;0;CHN;1;Group;13.juin;0;;;0;1;5;17;1;3;0;5;3;12;3;7;47;53
2019;JPN;2;SCO;1;Group;14.juin;0;;;1;0;18;12;6;4;4;2;11;6;6;6;49;51
2019;JAM;0;ITA;5;Group;14.juin;0;;;0;1;12;13;2;6;7;2;9;3;4;7;43;57
2019;ENG;1;ARG;0;Group;14.juin;0;;;0;1;19;3;7;2;4;0;10;10;7;0;64;36
2019;NED;3;CMR;1;Group;15.juin;0;;;1;0;10;11;4;2;3;4;5;15;0;3;58;42
2019;CAN;2;NZL;0;Group;15.juin;0;;;1;0;22;2;6;0;5;0;8;5;8;1;70;30
2019;SWE;5;THA;1;Group;16.juin;0;;;1;0;34;5;15;3;3;0;10;5;6;0;66;34
2019;USA;3;CHI;0;Group;16.juin;0;;;0;1;26;1;9;0;3;1;15;1;15;1;68;32
2019;CHN;0;ESP;0;Group;17.juin;0;;;1;0;1;24;0;9;1;6;14;14;0;8;39;61
2019;RSA;0;GER;4;Group;17.juin;0;;;0;1;7;23;1;12;2;4;12;9;1;8;42;58
2019;NGA;0;FRA;1;Group;17.juin;0;;;0;1;2;22;0;4;0;5;13;12;2;9;31;69
2019;KOR;1;NOR;2;Group;17.juin;0;;;0;1;23;8;7;2;7;2;12;12;4;3;61;39
2019;JAM;1;AUS;4;Group;18.juin;0;;;0;1;11;13;3;7;1;0;6;11;1;8;38;62
2019;ITA;0;BRA;1;Group;18.juin;0;;;0;1;12;12;4;4;4;3;13;15;4;7;49;51
2019;JPN;0;ENG;2;Group;19.juin;0;;;0;1;16;14;5;6;1;4;4;11;4;6;49;51
2019;SCO;3;ARG;3;Group;19.juin;0;;;1;0;12;1;7;4;2;2;15;13;5;1;49;51
2019;CMR;2;NZL;1;Group;20.juin;0;;;1;0;22;9;7;3;3;0;15;9;3;4;46;54
2019;NED;2;CAN;1;Group;20.juin;0;;;0;1;8;12;3;2;0;4;14;6;0;1;48;52
2019;SWE;0;USA;2;Group;20.juin;0;;;0;1;6;18;2;4;1;4;9;5;2;5;4;58
2019;THA;0;CHI;2;Group;20.juin;0;;;0;1;6;29;2;7;1;2;10;7;3;4;42;58
2019;GER;3;NGA;0;Round of 16;22.juin;0;;;1;0;12;9;4;1;3;4;16;15;13;5;60;40
2019;NOR;1;AUS;1;Round of 16;22.juin;1;4;1;1;0;27;20;8;4;8;6;14;8;12;6;48;52
2019;ENG;3;CMR;0;Round of 16;23.juin;0;;;1;0;7;8;3;2;1;1;4;11;4;2;63;37
2019;FRA;2;BRA;1;Round of 16;23.juin;0;;;1;0;15;12;4;6;2;2;10;23;7;4;52;48
2019;ESP;1;USA;2;Round of 16;24.juin;0;;;0;1;5;12;1;3;2;1;1;5;2;3;46;54
2019;SWE;1;CAN;0;Round of 16;24.juin;0;;;1;0;9;11;2;2;1;4;12;5;3;8;45;55
2019;ITA;2;CHN;0;Round of 16;25.juin;0;;;1;0;1;20;5;5;3;6;9;9;0;9;49;51
2019;NED;2;JPN;1;Round of 16;25.juin;0;;;1;0;12;12;5;4;7;1;8;8;3;2;55;45
2019;NOR;0;ENG;3;Quarter Final;27.juin;0;;;0;1;11;17;3;7;5;4;11;12;2;5;50;50
2019;FRA;1;USA;2;Quarter Final;28.juin;0;;;0;1;20;10;5;8;7;1;8;11;7;3;60;40
2019;ITA;0;NED;2;Quarter Final;29.juin;0;;;0;1;6;21;2;9;1;4;13;16;2;2;41;59
2019;GER;1;SWE;2;Quarter Final;29.juin;0;;;0;1;13;12;6;6;3;2;6;8;5;3;59;41
2019;ENG;1;USA;2;Semi Final;02.juil;0;;;0;1;7;10;4;4;1;1;12;9;2;2;53;47
2019;NED;1;SWE;0;Semi Final;03.juil;0;;;1;0;15;11;4;3;3;4;14;24;4;12;56;44
2019;ENG;1;SWE;2;Third Place Playoff;06.juil;0;;;0;1;13;9;4;8;4;0;11;11;4;2;54;46
2019;USA;2;NED;0;Final;07.juil;0;;;1;0;17;6;9;1;3;3;9;7;8;2;53;47